,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
761,droplet,3m,30m,male,Hmbs,3.0025088787078857,2.4493670935044065e-05,0.00019629042071755975,0.0006469748332165182,0.0
79,droplet,18m,21m,female,Hs3st6,3.0021607875823975,3.6307992559159175e-06,2.9089938834658824e-05,9.594456059858203e-05,2.1655651238091892e-105
762,droplet,3m,30m,male,Atp1a3,3.001310348510742,1.112366817324073e-06,8.907029041438363e-06,4.579236701829359e-05,4.676756547857203e-09
445,droplet,3m,24m,male,Lrrn4cl,2.9964957237243652,5.698878339899238e-06,4.548043216345832e-05,0.00022069737315177917,1.9770654428159199e-140
80,droplet,18m,21m,female,Pdia2,2.996419668197632,1.2486819969126373e-06,9.964703167497646e-06,0.00015713936591055244,8.45065019666646e-06
764,droplet,3m,30m,male,Sgol1,2.9957730770111084,1.705353838588053e-06,1.3602924809674732e-05,5.895279173273593e-05,4.152793559529307e-25
112,droplet,3m,21m,female,Scel,2.995706796646118,2.4181197204597993e-06,1.9287481336505152e-05,7.264885061886162e-05,2.7169227393710014e-49
447,droplet,3m,24m,male,Ccl11,2.993738889694214,3.276773713878356e-05,0.0002610067022033036,0.0019704627338796854,1.7969358556946196e-99
448,droplet,3m,24m,male,Tnfsf8,2.9847474098205566,1.6155357798197656e-06,1.2788373169314582e-05,0.00016445269284304231,1.2042359954528072e-10
440,droplet,3m,18m,male,Bst1,2.982302188873291,3.9666970224061515e-06,3.1346680771093816e-05,0.00011020177771570161,2.8131339584053424e-94
81,droplet,18m,21m,female,Pla2g1b,2.981973886489868,2.9695872854063055e-06,2.346171640965622e-05,0.00034688517916947603,9.141884352731297e-16
768,droplet,3m,30m,male,A530032D15Rik,2.980477809906006,2.8448223474697443e-06,2.245269570266828e-05,8.832430467009544e-05,2.539205320575443e-67
769,droplet,3m,30m,male,Bmx,2.9788410663604736,1.5336843262048205e-06,1.2090847121726256e-05,6.142193888081238e-05,9.243077792404453e-19
770,droplet,3m,30m,male,Lrrc25,2.9779536724090576,6.4869914240262005e-06,5.1108927436871454e-05,0.00013926257088314742,4.0643531132892554e-294
771,droplet,3m,30m,male,Naip2,2.9754562377929688,1.7068310853574076e-06,1.3424322787614074e-05,5.4013231419958174e-05,2.4821313320019143e-24
441,droplet,3m,18m,male,Fcgr1,2.9696624279022217,4.150086169829592e-06,3.2509829907212406e-05,0.00014204670151229948,6.650063825273788e-85
35,facs,3m,18m,male,Cebpe,2.965075969696045,3.4431609492457937e-06,2.688649510673713e-05,0.00018899948918260634,3.0985193004295087e-31
442,droplet,3m,18m,female,Bex2,2.9650487899780273,1.2590065807671635e-06,9.830982889980078e-06,6.166522507555783e-05,6.079737410697298e-10
82,droplet,18m,21m,female,Pof1b,2.9639058113098145,1.6053822946560103e-06,1.2525735655799508e-05,5.43952701264061e-05,3.539933686915636e-20
83,droplet,18m,21m,female,Fam25c,2.9631197452545166,2.577109080448281e-05,0.0002009651652770117,0.0008576377294957638,1.0901337408956597e-284
778,droplet,3m,30m,male,Nfam1,2.9628212451934814,3.220969119865913e-06,2.5112198272836395e-05,7.587505388073623e-05,2.6059121458567875e-87
443,droplet,3m,18m,female,Cyp2d12,2.9616384506225586,3.222664645363693e-06,2.5104825908783823e-05,0.00019086568499915302,4.19718939017703e-33
113,droplet,3m,21m,female,Bex2,2.960604429244995,1.2590065807671635e-06,9.80074310064083e-06,6.500146992038935e-05,1.6496860735300814e-10
84,droplet,18m,21m,female,Pnlip,2.956824541091919,3.226520129828714e-05,0.0002505112497601658,0.0037113649304956198,1.5512584996463766e-19
414,droplet,24m,30m,male,Atp1b1,2.954127788543701,1.8183753127232194e-05,0.0001409174146829173,0.0005466866423375905,0.0
415,droplet,24m,30m,male,Gipc2,2.9534382820129395,3.233936013202765e-06,2.5049843316082843e-05,0.00010652044147718698,1.250099644120446e-81
456,droplet,3m,24m,male,Tspan33,2.9520602226257324,5.218816568230977e-06,4.0385992178926244e-05,0.00017072079936042428,5.49038225320586e-143
85,droplet,18m,21m,female,Bbox1,2.9506325721740723,1.7638155895838281e-06,1.3635853974847123e-05,5.515379962162115e-05,3.816879666570543e-24
416,droplet,24m,30m,male,Slc22a18,2.9492297172546387,4.934921435051365e-06,3.811420901911333e-05,0.00016532109293621033,5.391112676575751e-155
75,facs,3m,24m,male,Gm6981,2.948542594909668,2.503090854588663e-06,1.9323088054079562e-05,5.532143040909432e-05,9.67578330977008e-51
458,droplet,3m,24m,male,Mxd3,2.9453554153442383,1.627171627660573e-06,1.253354457730893e-05,6.534865678986534e-05,2.0713070088455537e-19
