,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
111592,76,facs,3m,18m,female,Mammary_Gland,Mammary_Gland,stromal cell,Cd276,-8.283285140991211,2.3903281544335186e-05,7.672461066476899e-08,5.576154944719747e-05,4.865526840279238e-06
101801,270,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Bicd2,-8.281991958618164,6.224605021998286e-05,1.999777623495902e-07,0.0001441117492504418,5.193420551525387e-11
120938,271,facs,3m,24m,male,Marrow,T-cells,immature B cell,Rab7,-8.279901504516602,0.00013014793512411416,4.18733264950788e-07,0.00020196576952002943,6.226153062158305e-06
17408,290,facs,3m,18m,female,Liver,,,Sparc,8.27749252319336,2.997382807734539e-06,0.0009300705278292298,0.0018882988952100277,2.3578700469908622e-24
94134,77,facs,3m,18m,female,SCAT,Fat,epithelial cell,Slc39a1,-8.27736759185791,0.0017972495406866074,5.7925858527596574e-06,0.0014882786199450493,1.576073868347427e-06
45832,141,droplet,3m,30m,male,Liver,,,Cyp3a11,-8.27705192565918,0.0035455564502626657,1.142992823588429e-05,0.0031017193105071783,3.9271777775339834e-126
45833,142,droplet,3m,30m,male,Liver,,,Klkb1,-8.27178955078125,0.00027096408302895725,8.767067924964067e-07,0.0003311733016744256,1.1376999471722568e-62
11464,314,droplet,3m,24m,male,Kidney,,,Cd177,8.269887924194336,1.1254705611918325e-07,3.473939432296902e-05,0.00015681120567023754,1.5162900229091422e-45
62363,93,droplet,3m,18m,male,,,,Apoa2,-8.269270896911621,0.0005878852098248899,1.9054327822232153e-06,0.004365845117717981,3.990839903978416e-82
119493,272,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Arfrp1,-8.269149780273438,3.0473198421532288e-05,9.877601314656204e-08,7.920838106656447e-05,9.52828412507473e-06
101802,273,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Usp39,-8.268628120422363,3.3711985452100635e-05,1.0931389482493614e-07,8.918270759750158e-05,2.6615949222756716e-07
45834,143,droplet,3m,30m,male,Lung,,,Snca,8.268574714660645,1.721417106637091e-07,5.3085714171174914e-05,0.0002358919446123764,4.41116654770427e-97
69762,106,droplet,24m,30m,male,,,,Gm7092,8.268271446228027,3.9599669321432884e-08,1.2209562555653974e-05,7.024239312158898e-05,4.66433187131134e-26
119494,274,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Cat,-8.266735076904297,0.00016028228856157511,5.204147441872919e-07,0.0002171646774513647,5.065143467753211e-32
101803,275,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,2400003C14Rik,-8.26386547088623,9.379474067827687e-05,3.0514465265696344e-07,0.00015516410348936915,5.258368240152425e-25
45835,144,droplet,3m,30m,male,Liver,,,Ldhd,-8.263686180114746,4.6524161007255316e-05,1.5137639763906918e-07,0.00010233585635432974,3.67777659684427e-16
