,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
66987,0,droplet,3m,30m,male,,,,Krt6a,-20.847715377807617,0.001424849615432322,7.540598701005763e-10,0.004652134142816067,0.0
69656,0,droplet,24m,30m,male,,,,Krt6a,-20.077863693237305,0.0008356425096280873,7.540598701005763e-10,0.003994071390479803,0.0
11150,0,droplet,3m,24m,male,Kidney,,,Slc12a1,-18.843643188476562,0.0015329810557886958,3.257629499486825e-09,0.004109303466975689,3.82255978334385e-33
110540,0,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Mpo,-18.667829513549805,0.018219418823719025,4.374699003051319e-08,0.009715273045003414,2.8978210082615906e-13
66988,1,droplet,3m,30m,male,,,,Reg1,18.572494506835938,1.8185323247266183e-09,0.0007093122112564743,0.0037372345104813576,0.0
62270,0,droplet,3m,18m,female,,,,Ins1,18.413652420043945,9.35636457199962e-09,0.003267499152570963,0.01764858327805996,4.4580543198993516e-159
66989,2,droplet,3m,30m,male,,,,Krt13,-18.334686279296875,0.0005038472008891404,1.5230816607925135e-09,0.002112005138769746,5.9005115922572765e-266
69657,1,droplet,24m,30m,male,,,,Krt13,-18.241127014160156,0.00047220918349921703,1.5230816607925135e-09,0.002261705230921507,0.0
64099,0,droplet,3m,21m,female,,,,Ins1,18.0552921295166,9.35636457199962e-09,0.0025488133542239666,0.01550618838518858,1.0812611391687321e-206
53033,0,droplet,24m,30m,male,Kidney,,,Akr1c21,17.878219604492188,7.104028476589974e-09,0.0017117724055424333,0.0020490786992013454,0.0
17118,0,facs,3m,18m,female,Liver,,,Cyp3a11,-17.80466651916504,0.004003104288130999,1.748368916310028e-08,0.003131460165604949,1.3563658113694863e-53
64100,1,droplet,3m,21m,female,,,,Clps,17.79157257080078,8.298249865035245e-10,0.00018849782645702362,0.0027583243791013956,1.1060300141798306e-32
36953,0,facs,18m,24m,male,BAT,,,Krt8,17.753686904907227,1.8101212750920581e-09,0.00040025761700235307,0.0011992501094937325,5.797106124269085e-17
36954,1,facs,18m,24m,male,BAT,,,Wfdc2,17.51806640625,1.2183406505883454e-09,0.0002288699324708432,0.0008276984444819391,1.589307441645952e-10
53034,1,droplet,24m,30m,male,Kidney,,,Slc12a1,17.482219696044922,3.257629499486825e-09,0.0005966336466372013,0.002478283131495118,2.3606444618528014e-68
28785,0,facs,3m,24m,male,BAT,,,Spt1,17.31181526184082,6.733756663379609e-09,0.0010957146296277642,0.0035212980583310127,2.722388209195923e-14
17119,1,facs,3m,18m,female,Liver,,,Cd7,17.308961868286133,4.369599349018927e-09,0.0007096719346009195,0.0021582881454378366,5.638141478540036e-09
17120,2,facs,3m,18m,female,Liver,,,C8b,-17.196439743041992,0.0002187495556427166,1.4554748517525695e-09,0.0003318955423310399,1.2542981939861734e-11
64478,0,droplet,3m,24m,male,,,,Acan,-17.185163497924805,0.000247092975769192,1.6571001237863925e-09,0.0007695002132095397,0.0
11151,1,droplet,3m,24m,male,Kidney,,,Akr1c21,-17.09027099609375,0.0009914026595652103,7.104028476589974e-09,0.0014598675770685077,7.969704766058269e-118
109819,2,facs,18m,24m,male,Heart,LA,,Cd79a,17.05069923400879,2.999867021458158e-09,0.0004073975724168122,0.0016760412836447358,1.923443593787907e-09
36955,2,facs,18m,24m,male,BAT,,,Car6,16.91474723815918,1.2555376738276891e-09,0.00015524654008913785,0.0006300217937678099,1.2763947036067868e-07
28786,1,facs,3m,24m,male,BAT,,,Upk1a,16.728519439697266,1.3503443918594371e-09,0.0001467411930207163,0.0006037256680428982,2.569375267702447e-07
17121,3,facs,3m,18m,female,Liver,,,Mug-ps1,-16.627246856689453,3.692524114740081e-05,3.6377331702475146e-10,6.279288936639205e-05,4.447299467401966e-08
17122,4,facs,3m,18m,female,Liver,,,Itgb7,16.500688552856445,6.243642935999105e-09,0.0005790420109406114,0.0012782603735104203,3.3213411890142276e-20
17123,5,facs,3m,18m,female,Liver,,,Ltb,16.49839210510254,8.32194757549587e-09,0.000770527170971036,0.0013362427707761526,6.176863622806161e-35
62271,1,droplet,3m,18m,female,,,,Ins2,16.4792537689209,1.3472934767833067e-07,0.012308781035244465,0.06671489030122757,5.891358233720039e-158
11152,2,droplet,3m,24m,male,Kidney,,,Timp3,-16.35926628112793,0.0014221890596672893,1.6916153811052936e-08,0.0014064733404666185,1.9069540292621392e-265
66990,3,droplet,3m,30m,male,,,,Krt16,-16.336647033691406,0.0006541245384141803,7.902871246301402e-09,0.0033821172546595335,3.9016701951628322e-174
17124,6,facs,3m,18m,female,Liver,,,Gzmb,16.171398162841797,1.1417190748375106e-08,0.0008427000138908625,0.0028103836812078953,7.20626039797032e-07
17125,7,facs,3m,18m,female,Liver,,,Bcl2,16.057771682739258,3.5350209426354695e-09,0.00024120455782394856,0.0006095667486079037,1.4701172235683227e-14
66991,4,droplet,3m,30m,male,,,,Sprr1b,-15.983247756958008,0.00014758591714780778,2.2772850272190226e-09,0.000805809919256717,6.778993054850206e-151
64479,1,droplet,3m,24m,male,,,,Bpifa1,-15.93728256225586,0.0007812401163391769,1.244943526046427e-08,0.007634931709617376,2.5946510365804102e-46
53035,2,droplet,24m,30m,male,Kidney,,,Timp3,15.932404518127441,1.6916153811052936e-08,0.0010579348308965564,0.001245922758243978,0.0
66992,5,droplet,3m,30m,male,,,,Cela2a,15.907881736755371,6.525306872617875e-08,0.004011966288089752,0.02051854319870472,0.0
36956,3,facs,18m,24m,male,SCAT,,,Pnlip,15.869091033935547,2.1346846512670936e-09,0.00012782316480297595,0.0005989376804791391,2.4036029309993837e-06
64101,2,droplet,3m,21m,female,,,,Ins2,15.868315696716309,1.3472934767833067e-07,0.008059432730078697,0.048406943678855896,3.597866130834103e-212
98728,2,facs,3m,24m,male,Liver,Hepatocytes,,Gm11428,15.787020683288574,6.501313709605938e-09,0.0003676501801237464,0.0008898014202713966,1.4009067660347243e-06
69658,2,droplet,24m,30m,male,,,,Krt16,-15.77771282196045,0.0004440221528057009,7.902871246301402e-09,0.002754871966317296,6.609455679340917e-208
36957,4,facs,18m,24m,male,SCAT,,,Bpifa2,15.724828720092773,9.655168220490395e-09,0.0005229376256465912,0.002381042344495654,5.890417360940024e-07
66993,6,droplet,3m,30m,male,,,,Krt24,-15.643794059753418,0.0001719389547361061,3.3573281932319787e-09,0.0008327234536409378,3.9776988992883226e-193
53036,3,droplet,24m,30m,male,Kidney,,,Spink3,15.628938674926758,7.925944345288372e-08,0.00401639100164175,0.004533448256552219,0.0
17126,8,facs,3m,18m,female,Liver,,,H2-Oa,15.625594139099121,2.9265192491578773e-09,0.0001480036007706076,0.0004500212089624256,5.9931674919056075e-09
62272,2,droplet,3m,18m,male,,,,Otor,-15.598246574401855,8.954067743616179e-05,1.8040132720997804e-09,0.0009266487904824317,7.79834136535557e-40
69659,3,droplet,24m,30m,male,,,,Reg4,15.590713500976562,6.510892380795497e-10,3.217950143152848e-05,0.0010381421307101846,1.4491491672295825e-07
17127,9,facs,3m,18m,female,Liver,,,Gimap7,15.590660095214844,4.321927260519942e-09,0.00021332137112040073,0.0004652552306652069,9.825238401932697e-21
53037,4,droplet,24m,30m,male,Kidney,,,Calml4,15.518572807312012,9.33637522848585e-09,0.00043830944923684,0.0005079015390947461,0.0
66994,7,droplet,3m,30m,male,,,,Krt76,-15.485835075378418,8.998803969006985e-05,1.9600290279697674e-09,0.0013476306339725852,1.7644134545921768e-17
36958,5,facs,18m,24m,male,BAT,,,Serpina3k,15.464133262634277,2.5699495864728306e-09,0.0001162148400908336,0.0005148763302713633,8.16500282506412e-06
17128,10,facs,3m,18m,female,Liver,,,Gpr18,15.43760871887207,5.390813573313835e-09,0.00023928642622195184,0.0006294572958722711,3.635107019059941e-13
17129,11,facs,3m,18m,female,Liver,,,Epsti1,15.416228294372559,2.6395756691499628e-09,0.00011546375753823668,0.0002778440248221159,2.587775571213705e-16
98729,3,facs,3m,24m,male,Liver,Hepatocytes,,Vsig4,15.409947395324707,2.2805055621688552e-08,0.0009929024381563067,0.0021960290614515543,1.3983886345776335e-08
36959,6,facs,18m,24m,male,BAT,,,Cyp3a11,15.404548645019531,1.5688114141099163e-09,6.808925536461174e-05,0.0003015478723682463,9.15650897137691e-06
66995,8,droplet,3m,30m,male,,,,Krt35,-15.403432846069336,5.9787900681840256e-05,1.3784885455336848e-09,0.0006195657188072801,1.983344831525696e-38
64480,2,droplet,3m,24m,male,,,,Col10a1,-15.397372245788574,0.00013596405915450305,3.149309701910852e-09,0.0011989612830802798,8.840318541315366e-57
17130,12,facs,3m,18m,female,Liver,,,Cytip,15.379805564880371,2.5020585603385825e-09,0.0001067219563992694,0.0002847565629053861,1.2968911294809515e-12
62273,3,droplet,3m,18m,male,,,,Ins2,15.35195255279541,3.4747114341371343e-07,0.014531763270497322,0.07472457736730576,8.764949204679453e-184
69660,4,droplet,24m,30m,male,,,,Sprr1b,-15.301532745361328,9.200860949931666e-05,2.2772850272190226e-09,0.0006060250452719629,1.7629421891008577e-167
36960,7,facs,18m,24m,male,BAT,,,Ldhc,15.265901565551758,3.7216283388374904e-09,0.00014667087816633284,0.0005216369754634798,5.636462638236408e-11
17131,13,facs,3m,18m,female,Liver,,,Mug2,-15.216898918151855,0.00023767168750055134,6.239714522848772e-09,0.00026413906016387045,1.0574008308530658e-24
53038,5,droplet,24m,30m,male,Kidney,,,Hnf4a,15.215368270874023,4.094030003898297e-09,0.00015578995225951076,0.00022968155099079013,0.0
17132,14,facs,3m,18m,female,Liver,,,Faim3,15.14059066772461,1.3583413505102726e-08,0.0004906964604742825,0.0014992880169302225,7.39712056172973e-09
64481,3,droplet,3m,24m,male,,,,Sftpc,-15.130048751831055,0.0005013013142161071,1.397877724684804e-08,0.010098690167069435,3.061772708965985e-08
69661,5,droplet,24m,30m,male,,,,Krt76,-15.094521522521973,6.861007568659261e-05,1.9600290279697674e-09,0.0011496132938191295,7.706264693083828e-25
11153,3,droplet,3m,24m,male,Kidney,,,Hnf4a,-15.06579303741455,0.00014044703857507557,4.094030003898297e-09,0.00025845630443654954,7.582661511603972e-73
17133,15,facs,3m,18m,female,Liver,,,Map4k1,15.054169654846191,3.7320861956402496e-09,0.00012700608931481838,0.0003932522376999259,1.70981692634392e-08
66996,9,droplet,3m,30m,male,,,,Col2a1,-15.048543930053711,0.0006920801242813468,2.042075841757196e-08,0.002711151260882616,1.352097492857714e-305
17134,16,facs,3m,18m,female,Liver,,,Ly9,14.989109992980957,3.1643150322224756e-09,0.00010294104868080467,0.00033694496960379183,3.2453199075171286e-07
69662,6,droplet,24m,30m,male,,,,Krt24,-14.955361366271973,0.00010669292532838881,3.3573281932319787e-09,0.0007243055733852088,4.53845087578971e-162
17135,17,facs,3m,18m,female,Liver,,,Napsa,14.937080383300781,9.29010735006841e-09,0.00029145841835998,0.0006998045137152076,1.6216104920806243e-16
11154,4,droplet,3m,24m,male,Kidney,,,Spink3,-14.930218696594238,0.0024745729751884937,7.925944345288372e-08,0.0036662656348198652,2.1238898003625066e-116
17136,18,facs,3m,18m,female,Liver,,,H2-DMb2,14.885748863220215,2.0022261182361945e-08,0.000606166198849678,0.0014720053877681494,4.390376186452859e-16
96212,1,facs,18m,24m,male,BAT,Fat,myeloid cell,Ldhc,14.876587867736816,1.0573597997165507e-08,0.0003180994826834649,0.000731860229279846,1.7215763612974926e-12
11155,5,droplet,3m,24m,male,Kidney,,,Calml4,-14.873334884643555,0.0002802493399940431,9.33637522848585e-09,0.0003948401426896453,4.4647651493665767e-128
17137,19,facs,3m,18m,female,Liver,,,Ncf4,14.87302303314209,4.366481398676569e-09,0.0001310561056016013,0.00029209087369963527,1.2853229001718183e-19
17138,20,facs,3m,18m,female,Liver,,,Ctsw,14.871115684509277,1.2717961794805888e-08,0.0003811567439697683,0.0009542901534587145,6.471038893091117e-15
66997,10,droplet,3m,30m,male,,,,Mt4,-14.864083290100098,0.0017565828748047352,5.8901502342223466e-08,0.005649079568684101,0.0
69663,7,droplet,24m,30m,male,,,,Krt4,-14.819025039672852,0.0012810253538191319,4.431767663959363e-08,0.00763982767239213,2.798121896172275e-226
53039,6,droplet,24m,30m,male,Kidney,,,Aldob,14.767964363098145,9.322714333848126e-08,0.00260104238986969,0.002803180366754532,0.0
17139,21,facs,3m,18m,female,Liver,,,Il2rb,14.737149238586426,1.0355513779813919e-08,0.00028283786377869546,0.0009231164585798979,2.5425326725069516e-07
17140,22,facs,3m,18m,female,Liver,,,Nkg7,14.710185050964355,3.76863340534328e-08,0.0010101880179718137,0.002343457890674472,5.756067056144295e-18
17141,23,facs,3m,18m,female,Liver,,,Cd79b,14.677618026733398,3.478822563351969e-08,0.0009116919827647507,0.002330661052837968,3.5981272982768633e-14
119452,0,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Ppil2,-14.671002388000488,9.562943159835413e-05,3.664892389565466e-09,0.00017788528930395842,2.0255371939722143e-15
17142,24,facs,3m,18m,female,Liver,,,Ms4a4b,14.645726203918457,1.8090052122943234e-08,0.00046373173245228827,0.0011971311178058386,8.008747700184536e-14
69664,8,droplet,24m,30m,male,,,,Mt4,-14.637614250183105,0.0015013942029327154,5.8901502342223466e-08,0.005938917864114046,0.0
66998,11,droplet,3m,30m,male,,,,Krtap3-3,-14.60097885131836,5.209001028561033e-05,2.0951480550479573e-09,0.0005630051018670201,1.30896846649585e-34
62274,4,droplet,3m,18m,female,,,,Sst,14.566500663757324,1.865071119766526e-08,0.00045255591976456344,0.007631553336977959,3.4318839994188547e-13
17143,25,facs,3m,18m,female,Liver,,,Gimap3,14.558606147766113,2.4720883118334314e-08,0.0005965663585811853,0.0012602368369698524,2.1796109155692484e-22
83332,0,droplet,3m,18m,male,Kidney,,lymphocyte,S100a8,14.547069549560547,3.248440862080315e-06,0.07776413857936859,0.07736752927303314,2.2933287382995585e-08
98730,4,facs,3m,24m,male,Liver,Hepatocytes,,Cybb,14.545760154724121,6.759796722377587e-09,0.00016169928130693734,0.00036829643067903817,7.240672015713914e-08
17144,26,facs,3m,18m,female,Liver,,,Pik3cd,14.537814140319824,2.4443147506048035e-09,5.816382690682076e-05,0.0001805665815481916,2.8055650772211477e-08
36961,8,facs,18m,24m,male,BAT,,,Mal,14.531257629394531,3.459501352054417e-09,8.193762187147513e-05,0.0003025854821316898,7.680034329262816e-10
119453,1,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Aldh6a1,-14.523354530334473,8.632671233499423e-05,3.664892389565466e-09,0.00015953877300489694,1.2669133046215906e-15
64482,4,droplet,3m,24m,male,,,,3110079O15Rik,-14.51693058013916,0.0006273901090025902,2.6760238469591968e-08,0.0018081284360960126,0.0
69665,9,droplet,24m,30m,male,,,,Krt35,-14.515442848205566,3.230738002457656e-05,1.3784885455336848e-09,0.0004568661388475448,3.67697847773925e-31
17145,27,facs,3m,18m,female,Liver,,,Ms4a1,14.51134967803955,1.586522202501328e-08,0.0003705313429236412,0.0010961487423628569,1.1094842261891415e-09
62275,5,droplet,3m,18m,female,,,,Gcg,14.504186630249023,8.049083533023804e-08,0.0018704535905271769,0.021522652357816696,2.4571826322150386e-32
98521,2,facs,3m,24m,male,Aorta,Heart,aortic endothelial cell,Igfbp5,-14.501344680786133,0.0008412777679041028,3.62733594272413e-08,0.0012657494517043233,7.773174176474623e-09
64102,3,droplet,3m,21m,female,,,,Sst,14.477580070495605,1.865071119766526e-08,0.00042550486978143454,0.007862471044063568,2.723753018750103e-19
98496,0,facs,3m,18m,male,Aorta,Heart,aortic endothelial cell,Igfbp5,-14.474392890930176,0.0008412777679041028,3.6957388260816515e-08,0.0012657494517043233,7.773537900607733e-09
17146,28,facs,3m,18m,female,Liver,,,Arhgap9,14.447061538696289,6.776190275559202e-09,0.0001513730821898207,0.0004236115200910717,3.381991435509287e-11
17147,29,facs,3m,18m,female,Liver,,,Cd79a,14.427949905395508,7.744493046857315e-08,0.001707043033093214,0.004008700605481863,1.8967320626251822e-17
101689,3,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Tbc1d15,-14.414580345153809,8.843823161441833e-05,4.048662738398434e-09,0.00015793352213222533,3.7353678183017606e-21
66999,12,droplet,3m,30m,male,,,,Gpr87,-14.405023574829102,1.4130801901046652e-05,6.503622640430251e-10,4.470358544494957e-05,2.9798731680466645e-36
45691,0,droplet,3m,30m,male,Liver,,,Cxcl2,14.402207374572754,4.6857632440833186e-08,0.0010145793203264475,0.00179712672252208,4.314441509674575e-155
17148,30,facs,3m,18m,female,Liver,,,S100a4,14.381834030151367,4.085910276785398e-09,8.72485907166265e-05,0.0002651951217558235,6.773896190599933e-09
36962,9,facs,18m,24m,male,BAT,,,Igfbp2,14.376273155212402,1.3768206130748695e-08,0.00029281829483807087,0.0010574086336418986,1.426278036376953e-10
17149,31,facs,3m,18m,female,Liver,,,Mfng,14.374832153320312,2.4523598707304473e-09,5.2121493354206905e-05,0.0001815799332689494,7.573995134259504e-06
67000,13,droplet,3m,30m,male,,,,Krt4,-14.370956420898438,0.0009390220511704683,4.431767663959363e-08,0.006130499299615622,4.601472087963975e-108
62276,6,droplet,3m,18m,male,,,,Bpifa1,-14.368014335632324,0.0007812401163391769,3.694617589644622e-08,0.007634931709617376,2.6133779515044887e-46
11156,6,droplet,3m,24m,male,Kidney,,,Glod5,-14.345186233520508,7.633656787220389e-05,3.6667633374065645e-09,0.00015838311810512096,7.803228745194932e-55
69666,10,droplet,24m,30m,male,,,,Phgr1,14.334521293640137,1.582160003010813e-08,0.00032688776263967156,0.002345218788832426,5.093753818494296e-229
28787,2,facs,3m,24m,male,BAT,,,Abpg,14.333910942077637,4.591869551262562e-09,9.48464876273647e-05,0.0003453550161793828,2.976659989482034e-10
100186,6,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,,Scaf8,-14.295818328857422,1.979367880267091e-05,9.831387925984814e-10,6.60820078337565e-05,1.7025841266689775e-09
53040,7,droplet,24m,30m,male,Kidney,,,Glod5,14.293678283691406,3.6667633374065645e-09,7.365925557678565e-05,0.00014352421567309648,2.6490223247182405e-252
53041,8,droplet,24m,30m,male,Kidney,,,Dnase1,14.277020454406738,2.8620050329664082e-08,0.0005681944312527776,0.0012145807268097997,6.128802049863334e-267
11157,7,droplet,3m,24m,male,Kidney,,,Dnase1,-14.272109031677246,0.000566263566724956,2.8620050329664082e-08,0.001155911129899323,1.2857111340950667e-59
67001,14,droplet,3m,30m,male,,,,Krt5,-14.264593124389648,0.0008356713224202394,4.245754325893358e-08,0.001894370885565877,0.0
11158,8,droplet,3m,24m,male,Kidney,,,Spp2,-14.254234313964844,0.00031861892784945667,1.6303946637208355e-08,0.0007624140125699341,2.1991315594745858e-42
67002,15,droplet,3m,30m,male,,,,Krt84,-14.248798370361328,0.00012363634596113116,6.349828662877144e-09,0.0013170870952308178,6.475053782256143e-38
96213,2,facs,18m,24m,male,BAT,Fat,myeloid cell,Zg16,14.23495101928711,3.849882634909818e-09,7.425191142829135e-05,0.00020292932458687574,1.0088478866974382e-07
64103,4,droplet,3m,21m,female,,,,Ctrb1,14.234124183654785,1.9986035937336055e-08,0.0003851648943964392,0.00538907665759325,3.294542374919843e-36
69667,11,droplet,24m,30m,male,,,,Krt84,-14.22606372833252,0.00012170329137006775,6.349828662877144e-09,0.0016080125933513045,1.0928965017090382e-42
11159,9,droplet,3m,24m,male,Kidney,,,Aldob,-14.19180679321289,0.0017446427373215556,9.322714333848126e-08,0.002430990571156144,4.979447155494252e-132
69668,12,droplet,24m,30m,male,,,,Krtap3-3,-14.1656494140625,3.85218663723208e-05,2.0951480550479573e-09,0.0004934764001518488,1.127628888419381e-39
62277,7,droplet,3m,18m,female,,,,Ppy,14.1613130569458,4.928646646362722e-08,0.0009030600194819272,0.01554622408002615,1.6063049998752294e-12
17150,32,facs,3m,18m,female,Liver,,,Cd72,14.157868385314941,1.1493648699456571e-08,0.00021010616910643876,0.0004917574115097523,1.5270578513783485e-17
100187,7,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,,Nxph1,-14.152928352355957,9.921174205373973e-05,5.4453694886547055e-09,0.0003724387497641146,1.4463907406671162e-08
53042,9,droplet,24m,30m,male,Kidney,,,Slc27a2,14.14586353302002,5.744124464968081e-08,0.0010412633419036865,0.0014105605660006404,0.0
100188,8,facs,3m,24m,male,Brain_Myeloid,Hippocampus,,Hist1h3e,-14.142927169799805,5.313868314260617e-05,2.936415111065571e-09,0.00016038017929531634,6.149238231485762e-10
67003,16,droplet,3m,30m,male,,,,Cela3b,14.139856338500977,8.686838981475375e-08,0.0015681504737585783,0.00798056647181511,0.0
17151,33,facs,3m,18m,female,Liver,,,Pou2f2,14.13679313659668,2.4443147506048035e-09,4.404874925967306e-05,0.00014555983943864703,8.418757186656768e-07
17152,34,facs,3m,18m,female,Liver,,,Ptprcap,14.13503646850586,4.4951491418032674e-08,0.0008087673340924084,0.0013500986387953162,5.576505955769723e-38
101546,4,facs,3m,24m,male,Brain_Myeloid,Hippocampus,microglial cell,Hist1h3e,-14.135029792785645,5.3230778576107696e-05,2.9576592286417736e-09,0.00016050304111558944,6.097713303125484e-10
53043,10,droplet,24m,30m,male,Kidney,,,Hpd,14.123309135437012,3.796004399703179e-09,6.77611751598306e-05,0.00021297219791449606,4.820968847470807e-108
96214,3,facs,18m,24m,male,BAT,Fat,myeloid cell,Acta1,14.097140312194824,1.2450494857318972e-08,0.00021821445261593908,0.0005754301673732698,1.171919408055568e-08
83354,0,droplet,3m,24m,male,Kidney,,lymphocyte,S100a8,14.09078598022461,3.248440862080315e-06,0.056679289788007736,0.09572471678256989,6.54486168424658e-91
69669,13,droplet,24m,30m,male,,,,Gm5485,14.085326194763184,1.3456328273875329e-09,2.3407486878568307e-05,0.00017011021554935724,8.482608449181419e-75
17153,35,facs,3m,18m,female,Liver,,,Cd52,14.050457000732422,3.4819716887568575e-08,0.000590808573178947,0.0007391743711195886,2.532198148240569e-70
28788,3,facs,3m,24m,male,BAT,,,Car6,14.044962882995605,9.183739102525124e-09,0.00015524654008913785,0.0006300217937678099,1.2797539242039576e-07
62278,8,droplet,3m,18m,female,,,,Defb4,-14.00826644897461,1.3783980648440775e-05,8.355008906946182e-10,0.00022511660063173622,1.1579474354386555e-09
64104,5,droplet,3m,21m,female,,,,Ppy,13.99931526184082,4.928646646362722e-08,0.0008071425254456699,0.014905959367752075,2.5161268964648787e-19
17154,36,facs,3m,18m,female,Liver,,,Ms4a4c,13.985569953918457,7.77667086282463e-09,0.00012616111780516803,0.0004167530278209597,4.900131502562651e-07
67004,17,droplet,3m,30m,male,,,,Krt14,-13.978690147399902,0.0029481197707355022,1.826155227035997e-07,0.007923616096377373,0.0
17155,37,facs,3m,18m,female,Liver,,,Slfn2,13.969582557678223,1.9624895486458627e-08,0.00031484212377108634,0.0006178354378789663,1.7920235445292822e-26
119454,5,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Nup88,-13.951662063598633,5.8082936448045075e-05,3.664892389565466e-09,0.00013402130571193993,1.0783409913124231e-08
17156,38,facs,3m,18m,female,Liver,,,Was,13.947959899902344,2.7610178587877954e-09,4.3649641156662256e-05,0.00011219379666727036,2.870793394441855e-13
100189,10,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,,Dclre1b,-13.947189331054688,2.2854730559629388e-05,1.445950914558125e-09,9.25874337553978e-05,4.937545699663007e-06
53044,11,droplet,24m,30m,male,Kidney,,,Spp2,13.940187454223633,1.6303946637208355e-08,0.00025629138690419495,0.0006821992574259639,1.822555936302379e-169
101690,6,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Wls,-13.895994186401367,0.00012345433060545474,8.097325476796868e-09,0.00019179092487320304,3.057292894182694e-29
17157,39,facs,3m,18m,female,Liver,,,Sfpi1,13.870440483093262,2.0896115060509146e-08,0.00031297156237997115,0.0006846141768619418,1.2757194106189137e-20
11160,10,droplet,3m,24m,male,Kidney,,,Tmem27,-13.870084762573242,0.0014836045447736979,9.908371367828295e-08,0.002074211137369275,4.1483262400691173e-131
69670,14,droplet,24m,30m,male,,,,Gpr87,-13.864645957946777,9.71620738710044e-06,6.503622640430251e-10,3.9209655369631946e-05,3.257778719802307e-16
11161,11,droplet,3m,24m,male,Kidney,,,Slc27a2,-13.864550590515137,0.0008567953482270241,5.744124464968081e-08,0.0014777627075091004,6.24910127164841e-85
67005,18,droplet,3m,30m,male,,,,Sycn,13.848090171813965,1.0036048792017027e-07,0.0014799857744947076,0.007489218842238188,0.0
53045,12,droplet,24m,30m,male,Kidney,,,Tmem27,13.831094741821289,9.908371367828295e-08,0.0014440463855862617,0.0017024045810103416,0.0
17158,40,facs,3m,18m,female,Liver,,,Sh3bp1,13.830147743225098,3.016216609807998e-09,4.39436080341693e-05,0.0001499353675171733,3.571263624266508e-06
36963,10,facs,18m,24m,male,Aorta,,,Tspan11,-13.822086334228516,0.0003572927671484649,2.4668576514841334e-08,0.00047355605056509376,7.451312304306175e-16
119455,7,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Pitpnb,-13.820034980773926,5.301817145664245e-05,3.664892389565466e-09,0.00012043784226989374,4.950083813425852e-09
96215,4,facs,18m,24m,male,BAT,Fat,myeloid cell,Clu,13.813029289245605,1.796608195547833e-08,0.0002585911424830556,0.0007744543254375458,6.375338893940647e-06
67006,19,droplet,3m,30m,male,,,,Col9a1,-13.80903148651123,0.00010149979061679915,7.0708403576702494e-09,0.00037623237585648894,2.5343549216364643e-296
67007,20,droplet,3m,30m,male,,,,Clec4f,13.79952335357666,6.846159195106338e-09,9.762947593117133e-05,0.0006418693228624761,7.055343467923909e-243
11162,12,droplet,3m,24m,male,Kidney,,,Emcn,-13.780255317687988,0.0006228896090760827,4.427220190450498e-08,0.0015300228260457516,4.120870815223232e-40
11163,13,droplet,3m,24m,male,Kidney,,,Mal,-13.76777172088623,0.0003156991151627153,2.2632994145510565e-08,0.0005054199718870223,1.0536049257751836e-98
17159,41,facs,3m,18m,female,Liver,,,Cd2,13.755880355834961,2.0944968426306332e-08,0.0002897564845625311,0.0006043157773092389,4.9794501047629294e-23
36964,11,facs,18m,24m,male,BAT,,,Try4,13.713007926940918,1.2849747932364153e-08,0.0001725659385556355,0.0005883651319891214,2.908584818273362e-12
62279,9,droplet,3m,18m,male,,,,Sst,13.681479454040527,3.530244541138927e-08,0.00046382349682971835,0.00847602915018797,2.42553033017801e-11
17160,42,facs,3m,18m,female,Liver,,,Arhgap30,13.631547927856445,6.997382673290531e-09,8.88182912603952e-05,0.000246840383624658,2.5728423629391064e-11
67008,21,droplet,3m,30m,male,,,,Cnfn,-13.628939628601074,0.0002842559479176998,2.2437301794298037e-08,0.0015046743210405111,1.1759698634292824e-164
100190,11,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,,Arhgef19,-13.622991561889648,3.3613490813877434e-05,2.663308018568955e-09,0.00011575946700759232,4.038387370808842e-10
17161,43,facs,3m,18m,female,Liver,,,Clec12a,13.62177848815918,9.075538542901995e-09,0.00011441529932199046,0.0003716924402397126,2.1880153236138894e-07
17162,44,facs,3m,18m,female,Liver,,,Klrk1,13.61966323852539,7.4032020513925545e-09,9.319773380411789e-05,0.0003166549140587449,1.957973450503263e-06
11164,14,droplet,3m,24m,male,Kidney,,,Pah,-13.61928653717041,0.0004019111511297524,3.193762410091949e-08,0.0005933853681199253,7.977016904870278e-117
17163,45,facs,3m,18m,female,Liver,,,S1pr4,13.615120887756348,1.856161802038514e-08,0.0002329157869098708,0.0005807161214761436,4.748747514321457e-15
